,train_dur,exp_id,corpus,noise_dur,abx
0,8,02,seedlings,300,0.37995100021362305
1,8,02,seedlings,1000,0.3662090599536896
2,8,02,seedlings,500,0.388385146856308
3,8,05,seedlings,500,0.3789617419242859
4,8,05,seedlings,300,0.36556416749954224
5,8,05,seedlings,1000,0.35374853014945984
6,8,08,seedlings,300,0.3716535270214081
7,8,08,seedlings,1000,0.36701610684394836
8,8,08,seedlings,500,0.3867895007133484
9,8,21,seedlings,1000,0.36194589734077454
10,8,21,seedlings,300,0.3604489862918854
11,8,21,seedlings,500,0.37352752685546875
12,8,24,seedlings,300,0.3623122274875641
13,8,24,seedlings,1000,0.34219297766685486
14,8,24,seedlings,500,0.3788492977619171
15,8,27,seedlings,300,0.3681515157222748
16,8,27,seedlings,1000,0.35515788197517395
17,8,27,seedlings,500,0.3831465244293213
18,8,11,seedlings,500,0.3668600618839264
19,8,11,seedlings,300,0.35839590430259705
20,8,11,seedlings,1000,0.3539122939109802
21,8,19,seedlings,300,0.3761120140552521
22,8,19,seedlings,500,0.38643839955329895
23,8,19,seedlings,1000,0.35499709844589233
24,8,14,seedlings,300,0.37574446201324463
25,8,14,seedlings,500,0.3804049491882324
26,8,14,seedlings,1000,0.3563040792942047
27,8,17,seedlings,300,0.3539615273475647
28,8,17,seedlings,500,0.36538514494895935
29,8,17,seedlings,1000,0.33142104744911194
30,8,31,seedlings,1000,0.34243565797805786
31,8,31,seedlings,300,0.36263155937194824
32,8,31,seedlings,500,0.3644880950450897
33,8,01,seedlings,1000,0.36415499448776245
34,8,01,seedlings,300,0.38294893503189087
35,8,01,seedlings,500,0.3811878263950348
36,8,09,seedlings,300,0.36179783940315247
37,8,09,seedlings,500,0.37625837326049805
38,8,09,seedlings,1000,0.3543318808078766
39,8,04,seedlings,300,0.3704904317855835
40,8,04,seedlings,1000,0.35310524702072144
41,8,04,seedlings,500,0.38117825984954834
42,8,07,seedlings,300,0.37374842166900635
43,8,07,seedlings,1000,0.3492485284805298
44,8,07,seedlings,500,0.3771675229072571
45,8,23,seedlings,500,0.3668864071369171
46,8,23,seedlings,1000,0.3556199073791504
47,8,23,seedlings,300,0.3529624938964844
48,8,26,seedlings,500,0.3734210133552551
49,8,26,seedlings,300,0.3525243103504181
50,8,26,seedlings,1000,0.33500000834465027
51,8,29,seedlings,1000,0.3686608076095581
52,8,29,seedlings,500,0.3885299265384674
53,8,29,seedlings,300,0.37558573484420776
54,8,13,seedlings,1000,0.35644298791885376
55,8,13,seedlings,500,0.38258254528045654
56,8,13,seedlings,300,0.3734561502933502
57,8,16,seedlings,300,0.3675234913825989
58,8,16,seedlings,1000,0.34994518756866455
59,8,16,seedlings,500,0.3776692748069763
60,8,30,seedlings,300,0.35758212208747864
61,8,30,seedlings,500,0.372543066740036
62,8,30,seedlings,1000,0.34675586223602295
63,8,00,seedlings,1000,0.3625526428222656
64,8,00,seedlings,300,0.37719976902008057
65,8,00,seedlings,500,0.3796267807483673
66,8,03,seedlings,300,0.37052711844444275
67,8,03,seedlings,500,0.37549519538879395
68,8,03,seedlings,1000,0.3489459455013275
69,8,06,seedlings,500,0.37045392394065857
70,8,06,seedlings,300,0.36889952421188354
71,8,06,seedlings,1000,0.3461374044418335
72,8,22,seedlings,1000,0.36985671520233154
73,8,22,seedlings,500,0.4031112790107727
74,8,22,seedlings,300,0.3846946060657501
75,8,25,seedlings,300,0.37982693314552307
76,8,25,seedlings,1000,0.35728803277015686
77,8,25,seedlings,500,0.3919437825679779
78,8,20,seedlings,300,0.3570590019226074
79,8,20,seedlings,500,0.37580862641334534
80,8,20,seedlings,1000,0.34804823994636536
81,8,28,seedlings,500,0.3751112222671509
82,8,28,seedlings,300,0.37754106521606445
83,8,28,seedlings,1000,0.3456374406814575
84,8,12,seedlings,500,0.3849007487297058
85,8,12,seedlings,300,0.3735833168029785
86,8,12,seedlings,1000,0.34966668486595154
87,8,15,seedlings,300,0.370877206325531
88,8,15,seedlings,1000,0.36234360933303833
89,8,15,seedlings,500,0.3780789375305176
90,8,10,seedlings,1000,0.339621365070343
91,8,10,seedlings,500,0.3707966208457947
92,8,10,seedlings,300,0.3521287739276886
93,8,18,seedlings,500,0.39081940054893494
94,8,18,seedlings,300,0.3621439039707184
95,8,18,seedlings,1000,0.3550263047218323
96,0,02,seedlings,1000,0.46739766001701355
97,0,02,seedlings,500,0.45984208583831787
98,0,02,seedlings,300,0.4599708616733551
99,0,05,seedlings,300,0.45417025685310364
100,0,05,seedlings,1000,0.4783201515674591
101,0,05,seedlings,500,0.46303224563598633
102,0,08,seedlings,300,0.461810439825058
103,0,08,seedlings,500,0.4602416157722473
104,0,08,seedlings,1000,0.46957749128341675
105,0,21,seedlings,300,0.46156376600265503
106,0,21,seedlings,500,0.4701758325099945
107,0,21,seedlings,1000,0.47805994749069214
108,0,24,seedlings,500,0.4715035855770111
109,0,24,seedlings,1000,0.4754430055618286
110,0,24,seedlings,300,0.4673289656639099
111,0,27,seedlings,300,0.460835725069046
112,0,27,seedlings,500,0.45962315797805786
113,0,27,seedlings,1000,0.47580116987228394
114,0,11,seedlings,1000,0.4735058546066284
115,0,11,seedlings,500,0.47166746854782104
116,0,11,seedlings,300,0.46017181873321533
117,0,19,seedlings,1000,0.48431429266929626
