,train_dur,exp_id,corpus,noise_dur,abx
0,8,02,librivox,300,0.3660876750946045
1,8,02,librivox,500,0.35461363196372986
2,8,02,librivox,1000,0.3354035019874573
3,8,05,librivox,300,0.43898245692253113
4,8,05,librivox,500,0.44318416714668274
5,8,05,librivox,1000,0.4624152183532715
6,8,08,librivox,1000,0.33368274569511414
7,8,08,librivox,300,0.3616981506347656
8,8,08,librivox,500,0.35121649503707886
9,8,21,librivox,300,0.35938313603401184
10,8,21,librivox,1000,0.33949416875839233
11,8,21,librivox,500,0.36296170949935913
12,8,24,librivox,500,0.3362153172492981
13,8,24,librivox,1000,0.323676198720932
14,8,24,librivox,300,0.3553229570388794
15,8,27,librivox,500,0.37136006355285645
16,8,27,librivox,300,0.37779587507247925
17,8,27,librivox,1000,0.34760966897010803
18,8,11,librivox,300,0.3389792740345001
19,8,11,librivox,500,0.32608136534690857
20,8,11,librivox,1000,0.3299415111541748
21,8,19,librivox,500,0.3844318091869354
22,8,19,librivox,1000,0.33016225695610046
23,8,19,librivox,300,0.372632771730423
24,8,14,librivox,500,0.35873204469680786
25,8,14,librivox,300,0.366700142621994
26,8,14,librivox,1000,0.34627485275268555
27,8,17,librivox,300,0.3552587628364563
28,8,17,librivox,500,0.3604784607887268
29,8,17,librivox,1000,0.3391827344894409
30,8,31,librivox,500,0.35092225670814514
31,8,31,librivox,300,0.35448047518730164
32,8,31,librivox,1000,0.32007017731666565
33,8,01,librivox,300,0.3750261068344116
34,8,01,librivox,500,0.3604234755039215
35,8,01,librivox,1000,0.3365307152271271
36,8,09,librivox,300,0.3692623972892761
37,8,09,librivox,500,0.36735591292381287
38,8,09,librivox,1000,0.3368026614189148
39,8,04,librivox,500,0.36523085832595825
40,8,04,librivox,1000,0.3135526180267334
41,8,04,librivox,300,0.35006779432296753
42,8,07,librivox,300,0.3654186725616455
43,8,07,librivox,500,0.36911842226982117
44,8,07,librivox,1000,0.3343830406665802
45,8,23,librivox,300,0.3776431679725647
46,8,23,librivox,500,0.3771142363548279
47,8,23,librivox,1000,0.3351023197174072
48,8,26,librivox,500,0.37705862522125244
49,8,26,librivox,300,0.37532493472099304
50,8,26,librivox,1000,0.35063594579696655
51,8,29,librivox,1000,0.3420935869216919
52,8,29,librivox,300,0.36696216464042664
53,8,29,librivox,500,0.37430623173713684
54,8,13,librivox,1000,0.328415185213089
55,8,13,librivox,500,0.3584437966346741
56,8,13,librivox,300,0.375962495803833
57,8,16,librivox,1000,0.33661699295043945
58,8,16,librivox,300,0.3574812412261963
59,8,16,librivox,500,0.345598042011261
60,8,30,librivox,1000,0.31740936636924744
61,8,30,librivox,500,0.3621591031551361
62,8,30,librivox,300,0.35454151034355164
63,8,00,librivox,1000,0.3376154899597168
64,8,00,librivox,300,0.3814776539802551
65,8,00,librivox,500,0.3705933392047882
66,8,03,librivox,300,0.36867424845695496
67,8,03,librivox,1000,0.33249998092651367
68,8,03,librivox,500,0.3717918395996094
69,8,06,librivox,500,0.3657224774360657
70,8,06,librivox,300,0.3709729015827179
71,8,06,librivox,1000,0.32309502363204956
72,8,22,librivox,500,0.36777153611183167
73,8,22,librivox,300,0.3658739924430847
74,8,22,librivox,1000,0.34103506803512573
75,8,25,librivox,300,0.331956148147583
76,8,25,librivox,500,0.3459987938404083
77,8,25,librivox,1000,0.3121505677700043
78,8,20,librivox,300,0.3712794780731201
79,8,20,librivox,1000,0.3350672423839569
80,8,20,librivox,500,0.3777816891670227
81,8,28,librivox,1000,0.34328943490982056
82,8,28,librivox,300,0.3843623995780945
83,8,28,librivox,500,0.38974401354789734
84,8,12,librivox,500,0.3785274922847748
85,8,12,librivox,1000,0.3570409119129181
86,8,12,librivox,300,0.37571847438812256
87,8,15,librivox,300,0.3827165365219116
88,8,15,librivox,1000,0.33772075176239014
89,8,15,librivox,500,0.3659299910068512
90,8,10,librivox,300,0.37000876665115356
91,8,10,librivox,1000,0.33516374230384827
92,8,10,librivox,500,0.3802117109298706
93,8,18,librivox,500,0.37207895517349243
94,8,18,librivox,300,0.3709681034088135
95,8,18,librivox,1000,0.32503509521484375
96,0,02,librivox,1000,0.4909488260746002
97,0,02,librivox,300,0.4539262652397156
98,0,02,librivox,500,0.4613349139690399
99,0,05,librivox,1000,0.47070610523223877
100,0,05,librivox,300,0.43757614493370056
101,0,05,librivox,500,0.45813339948654175
102,0,08,librivox,500,0.46210289001464844
103,0,08,librivox,300,0.4605187177658081
104,0,08,librivox,1000,0.4771096110343933
105,0,21,librivox,500,0.46547847986221313
106,0,21,librivox,300,0.4470440745353699
107,0,21,librivox,1000,0.4737952649593353
108,0,24,librivox,1000,0.4702880084514618
109,0,24,librivox,300,0.4716905653476715
110,0,24,librivox,500,0.4685370624065399
111,0,27,librivox,300,0.44119298458099365
112,0,27,librivox,1000,0.48552048206329346
113,0,27,librivox,500,0.4628128111362457
114,0,11,librivox,500,0.4638768136501312
115,0,11,librivox,1000,0.4811857044696808
116,0,11,librivox,300,0.4629094898700714
117,0,19,librivox,500,0.4673875868320465
118,0,19,librivox,1000,0.47583186626434326
119,0,19,librivox,300,0.45516347885131836
120,0,14,librivox,500,0.45921891927719116
121,0,14,librivox,300,0.45284947752952576
122,0,14,librivox,1000,0.4733859598636627
123,0,17,librivox,1000,0.48273831605911255
124,0,17,librivox,500,0.4596123993396759
125,0,17,librivox,300,0.4534720778465271
126,0,31,librivox,300,0.4614408016204834
127,0,31,librivox,1000,0.4777792692184448
128,0,31,librivox,500,0.47405263781547546
129,0,01,librivox,300,0.45012837648391724
130,0,01,librivox,1000,0.472612589597702
131,0,01,librivox,500,0.4658792018890381
132,0,09,librivox,300,0.4496682584285736
133,0,09,librivox,500,0.4710693359375
134,0,09,librivox,1000,0.48144447803497314
135,0,04,librivox,500,0.4588845670223236
136,0,04,librivox,300,0.4408090114593506
137,0,04,librivox,1000,0.47305405139923096
138,0,07,librivox,1000,0.48395758867263794
139,0,07,librivox,500,0.4718731939792633
140,0,07,librivox,300,0.4561042785644531
141,0,23,librivox,1000,0.46239399909973145
142,0,23,librivox,500,0.46828827261924744
143,0,23,librivox,300,0.4463927447795868
144,0,26,librivox,500,0.4543600380420685
145,0,26,librivox,1000,0.4777412414550781
146,0,26,librivox,300,0.44976872205734253
147,0,29,librivox,300,0.4554896354675293
148,0,29,librivox,500,0.47407296299934387
149,0,29,librivox,1000,0.47797662019729614
150,0,13,librivox,300,0.450783908367157
151,0,13,librivox,1000,0.4824546277523041
152,0,13,librivox,500,0.46247008442878723
153,0,16,librivox,500,0.460222452878952
154,0,16,librivox,300,0.4513046145439148
155,0,16,librivox,1000,0.4675306975841522
156,0,30,librivox,1000,0.5037645697593689
157,0,30,librivox,300,0.45059168338775635
158,0,30,librivox,500,0.464412659406662
159,0,00,librivox,500,0.47549039125442505
