File,Duration,Is taken,,Taken duration (in minutes),10.16666667
00pbt6aJV8Y_350000_360000.wav,10.00,n,,"metais.marianne@gmail.com inutile de tout faire ici, faisons 5mn chacun",
00pK0GMmE9s_70000_80000.wav,10.00,n,,,
05NNBR1PCiw_150000_160000.wav,10.00,y,,,
07PC2zb3_xc_10000_20000.wav,10.00,n,,,
07QDI50hlec_50000_60000.wav,10.00,n,,,
0Cikr3DZaSM_100000_110000.wav,10.00,n,,,
0DvICv9rCkM_70000_80000.wav,10.00,n,,,
0E1jIdp2z10_30000_40000.wav,10.00,n,,,
0ehyZCP7iuQ_80000_90000.wav,10.00,n,,,
0eMdzbrbY4U_10000_20000.wav,10.00,n,,,
0Fc42_i3G80_100000_110000.wav,10.00,y,,,
0FK71lEBqRs_30000_40000.wav,10.00,n,,,
0F_RFWvp8cY_270000_280000.wav,10.00,y,,,
0GSBomNmZxI_30000_40000.wav,10.00,n,,,
0J0XskO5pYY_30000_40000.wav,10.00,n,,,
0o-DD4GwohU_110000_120000.wav,10.00,y,,,
0p9ClF5DXNo_160000_170000.wav,10.00,n,,,
0sZ2w_nPW_4_280000_290000.wav,10.00,n,,,
0UO35uIOrhg_50000_60000.wav,10.00,n,,,
0v22mLrfD6E_0_10000.wav,10.00,n,,,
0yCFCh8e10Y_10000_20000.wav,10.00,y,,,
13nV_7Q0WEc_220000_230000.wav,10.00,,,,
13yT2k5evdY_23000_33000.wav,9.00,,,,
19m8ffB4HmA_360000_370000.wav,10.00,,,,
1ABY_h55vF8_250000_260000.wav,10.00,n,,,
1FKNzvUjZPw_30000_40000.wav,10.00,n,,,
1HQyUAfYFHw_0_10000.wav,10.00,y,,,
1NkxMP5GM0o_240000_250000.wav,10.00,n,,,
1rFEFzJkHC8_20000_30000.wav,10.00,n,,,
1rMJFFQ_SdM_30000_40000.wav,10.00,n,,,
-1TeQpwlZGs_9000_19000.wav,10.00,n,,,
1vDLHyYCPhk_140000_150000.wav,10.00,n,,,
25R81bvaLfc_30000_40000.wav,10.00,,,,
28c_azOmujY_20000_30000.wav,10.00,,,,
28WMzKS8Mvg_40000_50000.wav,10.00,,,,
2Cv0_9ezILU_30000_40000.wav,10.00,y,,,
2D-dgLmfMN4_30000_40000.wav,10.00,n,,,
2eBQV6mzMfs_160000_170000.wav,10.00,y,,,
2gT9ZvAp-vw_70000_80000.wav,10.00,n,,,
2-JdnOFLx90_100000_110000.wav,10.00,n,,,
2jQwv1d0DyU_30000_40000.wav,10.00,y,,,
2KdHeWz8utE_60000_70000.wav,10.00,y,,,
2Lg4zowpNxE_30000_40000.wav,10.00,n,,,
2nFGzlJzxEU_260000_270000.wav,10.00,n,,,
2o4Vqjzfhko_50000_60000.wav,10.00,n,,,
2OJw3xGALI4_60000_70000.wav,10.00,n,,,
2PDJPQ2LUHI_80000_90000.wav,10.00,n,,,
2silQ-okQWE_80000_90000.wav,10.00,n,,,
2VMS64fFJps_170000_180000.wav,10.00,y,,,
2wkMjeh4kxk_210000_220000.wav,10.00,n,,,
2WP8Vmkdv_Y_180000_190000.wav,10.00,n,,,
2xu5cPjJz8w_330000_340000.wav,10.00,n,,,
332Q5m6oAXU_40000_50000.wav,10.00,,,,
